participant,participant_id,piece,condition,window_s,hr_resp_xcorr_peak,hr_resp_lag_s,hf_coherence,resp_rate_hz
P1,1,1,sight_reading,60.0,0.5218472114119315,2.75,0.36192144472390714,0.13333333333333333
P1,1,2,sight_reading,60.0,0.3503265854264297,3.5,0.2598452508534784,0.13333333333333333
P1,1,3,self_selected,60.0,0.5300073905433916,8.25,0.30361121766044763,0.2
P2,2,1,sight_reading,60.0,0.24223771836844463,7.25,0.06819461385381172,0.13333333333333333
P2,2,2,sight_reading,60.0,0.24842653056442027,3.0,0.23246344120463344,0.5333333333333333
P2,2,3,self_selected,60.0,0.3132035302082453,5.75,0.2223348463452261,0.15384615384615385
P3,3,1,sight_reading,60.0,0.2900644595140595,10.5,0.1515432185296431,0.4666666666666667
P3,3,2,sight_reading,60.0,0.307129664136176,-4.25,0.2593109967976551,0.5333333333333333
P3,3,3,self_selected,60.0,0.25341578481561083,-13.0,0.2594175588403468,0.2
P4,4,1,sight_reading,60.0,0.133646302138196,14.0,0.44340975523354664,0.4
P4,4,2,sight_reading,60.0,0.3962156524078765,14.0,0.08660681433487447,0.13333333333333333
P4,4,3,self_selected,60.0,0.47790436998446245,2.75,0.443959658707451,0.2
P5,5,1,sight_reading,60.0,0.4822316522951529,13.0,0.4513218992611013,0.4666666666666667
P5,5,2,sight_reading,60.0,0.47247303803765806,-14.25,0.2837474065496859,0.5333333333333333
P5,5,3,self_selected,60.0,0.229469468309137,-8.5,0.18901750542585222,0.4
P6,6,1,sight_reading,60.0,0.2831425031953649,1.5,0.46797039912048854,0.4666666666666667
P6,6,2,sight_reading,60.0,0.46314666988477754,3.25,0.2988894176960113,0.4666666666666667
P6,6,3,self_selected,60.0,0.2740515996976247,-5.25,0.1745824041207315,0.13333333333333333
P7,7,1,sight_reading,60.0,0.28250744105235737,-11.5,0.424974359547879,0.2
P7,7,2,sight_reading,60.0,0.36920314734057486,1.75,0.6351305348575266,0.13333333333333333
P8,8,1,sight_reading,60.0,0.38102276833980436,-10.25,0.275570993530508,0.13333333333333333
P8,8,2,sight_reading,60.0,0.34406757523690507,-15.0,0.5283106758268838,0.3333333333333333
P8,8,3,self_selected,60.0,0.49142158088325705,-10.0,0.26100219144981673,0.13333333333333333
P9,9,1,sight_reading,60.0,0.7029002841168144,0.0,0.5980539688486551,0.13333333333333333
P9,9,2,sight_reading,60.0,0.37131234338823577,15.0,0.12366679270428882,0.13333333333333333
P9,9,3,self_selected,60.0,0.26447832624233397,-4.5,0.07785471037719488,0.13333333333333333
